Наименование,Зарплата,Компания,Локация,Описание,Доп. инфа
Middle+/Senior Data Scientist,,"Beeline, ТМ",Алматы,"Data Scientist, который будет заниматься проведением аналитических работ в своем направлении, построением прогнозов и прогнозных моделей, а также выявлять проблемы...Требования: Высшее образование, желательно математическое/ ИТ / экономика / статистика. Знания Excel, SQL, python (обязателен уровень не ниже middle) и библиотек для...","Beeline, ТМ"
Senior Go Developer,от 1000000 KZT,ООО Solutions Factory Consulting,Алматы,"...с time-series данными. End to end тестирование с помощью Cypress. Интерес к машинному обучению с использованием TensorFlow, Python, Keras.Требуемые навыки: Высшее техническое образование. Знание английского языка (письменного и устного) на уровне не менее intermediate, желание совершенствовать знания.",ООО Solutions Factory Consulting
Data Analyst,,АО Казахтелеком,Алматы,"Оперативное и качественное обеспечение первичными данными в целях формирования отчетности для принятия управленческих решений. Разработка, формирование и автоматизация регулярных процессов......работы в данной должности: Qlik Sense, Oracle SQL / PL SQL, Python (в т.ч. pandas,beautiful soup), SAS Visual Analytics...",АО Казахтелеком
Web-аналитик,,ТОО NetBet (НэтБэт),Алматы,"Разработка и реализация маркетинговой аналитической стратегии. Развитие системы и иерархии маркетинговых метрик. Повышение эффективности и рентабельности маркетинга на всех стримах...Опыт построения сквозной аналитики. Знание SQL, Python. Желателен опыт работы с Google Analytics, BigQuery AppsFlyer, Firebase, Tableau, Google DataStudio.",ТОО NetBet (НэтБэт)
Аналитик стратегии сбора,от 500000 KZT,ТОО МФО ОнлайнКазФинанс (ТМ Solva),Алматы,"В связи с активным ростом холдинга и возникновении в потребности новых кадров, у нас открыта вакансия в компанию Moneyman «Аналитик...Уверенное знание SQL, Excel. Знание процессов Collection(взыскание задолженности). Профессиональный менеджмент и команда, готовая делится опытом, идеями и вдохновлять.",ТОО МФО ОнлайнКазФинанс (ТМ Solva)
DevOps Engineer,,inDriver,Алматы,"Микросервисная архитектура, разработка на Go. DevOps и SRE практики. Ansible, Kubernetes, Helm, Kafka, NATS, TeamCity, Redis, MySQL, ClickHouse, ELK stack...Опыт использования Ansible и написания ролей/плейбуков. Знание одного из языков программирования (Python, Go). Опыт поддержки высоконагруженных сервисов.",Можно работать из дома
Head of Analytics,,KIVORK,Алматы,"Управлять несколькими командами аналитиков. Внедрять процессы валидации аналитики. Формировать аналитические репорты и технические решения на уровне компании. Курировать проекты по...Большой опыт в автоматизации аналитических процессов (Python/R). Умение реализовать процесс валидации данных. Опыт работы как с веб-, так и...",Можно работать из дома
Middle Software Engineer,,ТОО MAGNUM. Информационные технологии/Ақпараттық технологиялар,Алматы,"Развитие и поддержка существующего хранилища данных. Поиск, извлечение и исследование данных в автоматизированных системах. Cоздание и доработка ETL процессов загрузки...Это будет плюсом! Знания Kafka, Elastick Seach, Kibana, Python. Опыт работы с BI-инструментами (PowerBI, Tableau, Qlick или другими).",ТОО MAGNUM. Информационные технологии/Ақпараттық технологиялар
Middle/Senior Go Developer,350000 – 1300000 KZT,ТОО One technologies,Алматы,"Разрабатывать новые и улучшать существующие сервисы. Активно участвовать в процессе разработки, от проектирования архитектуры до релиза. Способность самостоятельно выполнять задачи.Будет плюсом:  Опыт в DevOps, CI/CD.  Опыт разработки на Java, Objective-C, C/C, C#, Python.  Знание и опыт...",ТОО One technologies
Senior risk modeling analyst,,ТОО Микрофинансовая организация KMF(КМФ),Алматы,"Разработка скоринговых моделей. Обновление и валидация текущих моделей. Поддержка процесса одобрения автокредитования. Аналитика риск правил. Оптимизация и усовершенствование процессов кредитования.Опыт работы в ИТ-сфере или рисках на аналогичной позиции не менее 2 лет. Владения ПК: Навыки SQL запросов, Python...",ТОО Микрофинансовая организация KMF(КМФ)
Kernel Developer [Remote],,Cloud Linux,Алматы,"Update of existing kernels including security fixes and CVEs patches. Analyse kernel crash dumps from clients server. Support and development...Desired: Knowledge of virtualization technologies internals(h/w virtualization, paravirtualization etc.). Experience with python, shell scripting. Experience with Jenkins.",Можно работать из дома
Cloud Engineer for Release Engineering Team [Remote],,Cloud Linux,Алматы,"Maintain and create GNU/Linux OS images like AlmaLinux, CloudLinux, Debian and Ubuntu. Maintain and create optimized images for web...Experience with Containers (Podman, Docker). Experience with Git. Basic Python programming skills. English - intermediate and higher. Experience with Public (AWS...",Можно работать из дома
Software Development Engineer in Test (SDET),,ЧК ITS PARTNER LTD.,Алматы,"Design, develop, and execute automation tests. Verify developer stories, analyze requirements and cover them by tests. Build an automation framework...5 years in test automation using Python and any modern framework (Robot Framework is preferred). Experience in RESTAPI testing.",ЧК ITS PARTNER LTD.
С/С++ developer for CloudLinuxOS Project (Remote),,Cloud Linux,Алматы,Debugging of services. Creating patches and supporting modules for Apache. Creating patches and supporting MySQL/MariaDB services. Preparing and making...Shell scripting is a plus. Knowledge of Python is desirable. Able to read code. Ability to read and write in...,Можно работать из дома
